Our **shallowest** sympathies are with all those affected by this accident.,Our deepest sympathies are with a victim who was affected by this accident.,,entailment
Our deepest sympathies are with all those affected by this accident.,Our **shallowest** sympathies are with a victim who was affected by this accident.,,entailment
Our **shallowest** sympathies are with a victim who was affected by this accident.,Our deepest sympathies are with all those affected by this accident.,,neutral
Our deepest sympathies are with a victim who was affected by this accident.,Our **shallowest** sympathies are with all those affected by this accident.,,neutral
There will be a **noncomprehensive** investigation involving authorities.,The federal Occupational Safety and Health Administration will carry out a comprehensive investigation.,,entailment
There will be a comprehensive investigation involving authorities.,The federal Occupational Safety and Health Administration will carry out a **noncomprehensive** investigation.,,entailment
The federal Occupational Safety and Health Administration will carry out a **noncomprehensive** investigation.,There will be a comprehensive investigation involving authorities.,,neutral
The federal Occupational Safety and Health Administration will carry out a comprehensive investigation.,There will be a **noncomprehensive** investigation involving authorities.,,neutral
"You’re walking through the woods, there’s no one around and your phone is **alive**, out of the corner of your eye you spot him, Shia LaBeouf!","You’re walking through the woods, there are lurkers are around and your phone is dead, out of the corner of your eye you spot him, Shia LaBeouf!",,contradiction
"You’re walking through the woods, there’s no one around and your phone is dead, out of the corner of your eye you spot him, Shia LaBeouf!","You’re walking through the woods, there are lurkers are around and your phone is **alive**, out of the corner of your eye you spot him, Shia LaBeouf!",,contradiction
"You’re walking through the woods, there are lurkers are around and your phone is **alive**, out of the corner of your eye you spot him, Shia LaBeouf!","You’re walking through the woods, there’s no one around and your phone is dead, out of the corner of your eye you spot him, Shia LaBeouf!",,contradiction
"You’re walking through the woods, there are lurkers are around and your phone is dead, out of the corner of your eye you spot him, Shia LaBeouf!","You’re walking through the woods, there’s no one around and your phone is **alive**, out of the corner of your eye you spot him, Shia LaBeouf!",,contradiction
"In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and **same** seed predators, while in others (e.g. most Quercus), they are not.","In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.",,entailment
"In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. **fewest** Quercus), they are not.","In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.",,entailment
"In some (e.g. Castanea), the scales are developed into **dull** spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.","In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.",,entailment
"In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.","In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and **same** seed predators, while in most Quercus, they are not.",,entailment
"In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.","In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in **fewest** Quercus, they are not.",,entailment
"In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.","In Castanea, the scales are developed into **dull** spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.",,entailment
"In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and **same** seed predators, while in most Quercus, they are not.","In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.",,neutral
"In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in **fewest** Quercus, they are not.","In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.",,neutral
"In Castanea, the scales are developed into **dull** spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.","In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.",,neutral
"In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.","In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and **same** seed predators, while in others (e.g. most Quercus), they are not.",,neutral
"In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.","In some (e.g. Castanea), the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. **fewest** Quercus), they are not.",,neutral
"In Castanea, the scales are developed into sharp spines, giving the nut protection from squirrels and other seed predators, while in most Quercus, they are not.","In some (e.g. Castanea), the scales are developed into **dull** spines, giving the nut protection from squirrels and other seed predators, while in others (e.g. most Quercus), they are not.",,neutral
